model,scenario,horizon_year,metric,point,boot_mean,ci_low,ci_high,boot_valid_n,observed_n,positive_n
step89_summary_augmented_modular_v4,no_MMSE_ADAS13,5,AUROC,0.9054359789653909,0.9052259006278671,0.8718797910110545,0.9363724362545662,1000,369,148
step89_summary_augmented_modular_v4,no_MMSE_ADAS13,5,AUPRC,0.8480606926365324,0.8497178472585041,0.7917092808877094,0.9053596587800273,1000,369,148
step89_summary_augmented_modular_v4,no_MMSE_ADAS13,5,Brier,0.12751852144378428,0.12780569042297263,0.11082256439383036,0.1445097080201175,1000,369,148
step89_summary_augmented_modular_v4,no_visit_process,1,AUROC,0.9126819126819127,0.9133681545058647,0.8781282737075089,0.9455383537301684,1000,570,37
step89_summary_augmented_modular_v4,no_visit_process,1,AUPRC,0.40010208548645915,0.4100956397477318,0.2755698129389786,0.5595436603588722,1000,570,37
step89_summary_augmented_modular_v4,no_visit_process,1,Brier,0.047845959757491445,0.047639052889210914,0.0367677272763651,0.058495204842794205,1000,570,37
step89_summary_augmented_modular_v4,no_visit_process,2,AUROC,0.9006993006993007,0.9020732037543117,0.8646491459677312,0.9315008273016531,1000,509,80
step89_summary_augmented_modular_v4,no_visit_process,2,AUPRC,0.5870410952155691,0.599596036590606,0.48390924658044593,0.7169622429313045,1000,509,80
step89_summary_augmented_modular_v4,no_visit_process,2,Brier,0.08626940390113719,0.08590638293345279,0.07267260600673822,0.10105610657531602,1000,509,80
step89_summary_augmented_modular_v4,no_visit_process,3,AUROC,0.9110811216074374,0.9113300140954108,0.8750589701937413,0.9411319978339527,1000,459,117
step89_summary_augmented_modular_v4,no_visit_process,3,AUPRC,0.8194495788866958,0.8192239176796077,0.7444220484429392,0.8762884956964864,1000,459,117
step89_summary_augmented_modular_v4,no_visit_process,3,Brier,0.09980610529827448,0.09965616280146342,0.08204972044117813,0.11881746796250245,1000,459,117
step89_summary_augmented_modular_v4,no_visit_process,5,AUROC,0.924299865476336,0.9239931253173151,0.8975112840300385,0.9506853922231095,1000,369,148
step89_summary_augmented_modular_v4,no_visit_process,5,AUPRC,0.9001626927996615,0.8994198528702847,0.8558269364052293,0.9382703177964161,1000,369,148
step89_summary_augmented_modular_v4,no_visit_process,5,Brier,0.10749534531191278,0.10779263259124551,0.08736689861370833,0.12765650151952615,1000,369,148
step89_summary_augmented_modular_v4,visit_process_only,1,AUROC,0.7254449571522743,0.7275375785658716,0.6535814929388136,0.8048539872565491,1000,570,37
step89_summary_augmented_modular_v4,visit_process_only,1,AUPRC,0.15470392011993755,0.174176590887997,0.10321309209370237,0.27769956884148417,1000,570,37
step89_summary_augmented_modular_v4,visit_process_only,1,Brier,0.058633469937397556,0.05906024349544592,0.04087800961789534,0.07647282396235139,1000,570,37
step89_summary_augmented_modular_v4,visit_process_only,2,AUROC,0.6616695804195805,0.6633583169527799,0.6017985505528413,0.7233215971243163,1000,509,80
step89_summary_augmented_modular_v4,visit_process_only,2,AUPRC,0.24362444225980823,0.2554864179519769,0.18581001768944697,0.3345878232609513,1000,509,80
step89_summary_augmented_modular_v4,visit_process_only,2,Brier,0.1274479757649552,0.12744522578176617,0.10714561980803664,0.15071978932046315,1000,509,80
step89_summary_augmented_modular_v4,visit_process_only,3,AUROC,0.6662668066176839,0.6671165952637536,0.6129611986729613,0.7181582178116528,1000,459,117
step89_summary_augmented_modular_v4,visit_process_only,3,AUPRC,0.354284876012323,0.36345804023765993,0.29235349774053193,0.44216422956397533,1000,459,117
step89_summary_augmented_modular_v4,visit_process_only,3,Brier,0.1789094150277301,0.17906106003774847,0.15989409969497487,0.19814544389417796,1000,459,117
step89_summary_augmented_modular_v4,visit_process_only,5,AUROC,0.6437263054910114,0.6420085352599302,0.5832472061516915,0.6966198240964898,1000,369,148
step89_summary_augmented_modular_v4,visit_process_only,5,AUPRC,0.5032370548319879,0.5106547346476867,0.427424573190828,0.5903609522407605,1000,369,148
step89_summary_augmented_modular_v4,visit_process_only,5,Brier,0.23052448176347862,0.23086550887100912,0.2232343967684597,0.23937495738361908,1000,369,148
